Date,Open,High,Low,Close
09/09/2025,33.8,41.3,32,40.99
09/10/2025,41.2,52.34,36.8,47.31
09/11/2025,46.58,54.98,42.84,50.57
09/12/2025,50.98,55.67,48.6,53.41
10/01/2025,53.6,57.58,46.42,49.84
10/02/2025,49,51.48,44.6,47.32
10/03/2025,47.8,52.06,47.3,50.97
10/04/2025,50.67,59.48,48.8,57.1
10/05/2025,56.94,58.08,50.66,57.57
10/06/2025,56.7,59.9,52.6,53.83
10/07/2025,53.55,60.94,53.02,58.99
10/08/2025,59.4,68.88,59.01,62.22
10/09/2025,62.8,71.74,62.51,70.3
10/10/2025,70.9,76,68.21,71.86
10/11/2025,72.2,77.6,58,61.21
10/12/2025,61.8,68.36,55.44,62.54
11/01/2025,62.98,63.54,49.39,52.59
11/02/2025,53,57.69,46.71,51.29
11/03/2025,51.84,65.2,50.8,61.98
11/04/2025,62,68.26,60.5,61.02
11/05/2025,61.26,61.68,54.5,60.07
11/06/2025,60.4,63.39,54.8,62.38
11/07/2025,63,68,61.36,62.13
11/08/2025,62.9,63.96,50.51,55.61
11/09/2025,56,60.08,51.2,54.5
11/10/2025,53.8,64.8,48.1,62.9
11/11/2025,62.2,63.7,52.04,54.49
11/12/2025,57,59.8,47.4,47.72
12/01/2025,47.92,66.5,46.11,65.99
12/02/2025,65.9,74.8,63.6,69.14
12/03/2025,69,77.88,66.2,73.46
12/04/2025,73.62,76.1,69.11,70.07
12/05/2025,70.4,70.59,58.85,66.02
12/06/2025,65.45,70.6,62.14,67.83
12/07/2025,68.15,73.19,67.57,72.85
12/08/2025,73,74.78,65.27,65.97
12/09/2025,66.2,77.69,64.46,76.44
12/10/2025,76.4,84.2,75.6,82.29
12/11/2025,82.54,89.6,82.22,88.48
12/12/2025,89.2,95,88.01,92.84
13/01/2025,93.2,107,93.2,104.41
13/02/2025,104.41,107.8,93.4,94.5
13/03/2025,94,100.15,83.42,85.71
13/04/2025,85.7,101.8,83.43,100.28
13/05/2025,100.99,109.43,97.2,97.49
13/06/2025,99,102.94,87.15,92.2
13/07/2025,92.4,100.4,57.71,64.76
13/08/2025,66,67.81,43.22,48.65
13/09/2025,49.2,78.94,44.8,57.5
13/10/2025,58,76.44,56.08,73.76
13/11/2025,74,77.27,64.65,73.74
13/12/2025,74.4,83,71.63,74.02
14/01/2025,74.74,76.35,60.8,61.59
14/02/2025,61.54,62.7,58.42,60.95
14/03/2025,60.52,83.36,60.34,82.7
14/04/2025,83.45,94.98,80.8,88.14
14/05/2025,88.8,117.6,86.98,113.89
14/06/2025,114.8,117.57,101.62,108.38
14/07/2025,108.43,114.46,100.44,108.21
14/08/2025,107.4,118.69,103.31,114.33
14/09/2025,114.6,126.85,107.18,111.7
14/10/2025,112.1,137.8,109.2,136.83
14/11/2025,137.1,143.91,132.44,142.08
14/12/2025,142.08,155,134,154.57
15/01/2025,154.4,179,150.47,172.5
15/02/2025,172.5,173.88,156.1,172.55
15/03/2025,174.8,182,156.8,163.31
15/04/2025,162.8,172.8,154.53,167.96
15/05/2025,170,176.96,157.8,176.52
15/06/2025,177,179.4,158.9,168.6
